COD_BARRAS;PRODUTO_ID;NOMEORDER;FORNECEDOR;LOCALIZACAO;TRIBUTACAO;NCM;ALIQUOTA_NCM;CST_PIS;CST_COFINS;NATUREZA_RECEITA_PIS_COFINS;PADRAO_COMISSAO;DESCONTO_MAXIMO;QUANTIDADEORDER;TABELA;VENDA;PROMOCAO;VALOR_ULT_COMPRA;MARGEM;TOTAL_PRVENDA;TOTAL_PRPROMOCAO;TOTAL_PRCOMPRA
7898658621189;45901; AMP. TRATAMENTO CAPILAR SKAFE OLEO DE ARGAN ;PERFUMARIA HIGIENE E LIMPEZA;;ST;33059000;0;04;04;002;0;5;0;;2,5;0;1,46000003814697;71,2328722383454;0;0;0
7898060132167;45093; NAFAZOLINA CLOR. 0,5MG/ML FR C/ 30ML;GLOBO PHARMA;;ST;30049099;0;04;04;002;0;15;0;9,15;9,14999961853027;0;1,35000002384186;577,777737550775;0;0;0
7898142863309;43277; TORTUGUITA CONFEITOS 100 G;ALIMENTO;;ST;18063210;0;49;49;   ;0;0;1;;45,5999984741211;0;45,0499992370605;1,220864031909;45,5999984741211;0;45,0499992370605
7897406120141;48091;#CARBONATO DE LITIO 300 MG C/60 CPR (C1) (BIOCH) (;BIOCHIMICO;;ST;30049099;0;04;04;002;0;10;0;;35;0;0;0;0;0;0
7899095254619;47804;#LAMOTRIGINA (C1) 100MG 30CP (GEN);GEOLAB IND. FARMACEUTICA LTDA;;ST;30049069;0;04;04;002;0;10;0;58,13;58,1300010681152;0;40,1300010681152;44,8542225788817;0;0;0
7894916503044;14662;(ANTIGO) CLO 10 MG;EMS SIGMA;;ST;30049069;26,33;04;04;002;0;10;0;17,85;17,8500003814697;0;5,59000015258789;219,320212776847;0;0;0
7896181900528;3338;(ANTIGO) CORDAREX 2,5MG C/20;BIOSINTETICA / E-SIMPLES;;ST;30049069;0;04;04;002;0;10;0;;19,7399997711182;0;7,82000017166138;152,429659051073;0;0;0
7898074615212;39500;(ANTIGO) MONURIL 5,631 G CX C/2 ENV. DE 8 G;ZAMBON;;ST;30042099;0;04;04;002;0;10;0;151,79;151,789993286133;90;69,9599990844727;28,644941649199;0;0;0
7896180300510;42446;(ANTIGO) REGENCEL POMADA OFTALMICA BG 3,5 G;LATINOFARMA;;ST;30049059;0;04;04;002;0;0;0;;0,00999999977648258;0;9,27999973297119;-99,8922413786182;0;0;0
7896212415618;17177;(ANTIGO) TYLENOL SINUS CX C/24 CPR;JANSSEN-CILAG;;ST;30044200;32,09;04;04;002;0;0;0;24,79;24,7900009155273;0;17,9599990844727;38,0289653631418;0;0;0
7896006226116;24665;(ANTIGO) VARFARINA SODICA 5 MG CX C/30 CPR;UNIAO QUIMICA COMERCIAL;;ST;30049059;32,09;04;04;002;0;10;0;17,94;17,9400005340576;8,5;4,19199991226196;102,767179816411;0;0;0
7896094201590;21208;(SUSPENSO) MAXIDRATE 0,45% GEL NASAL BG 30 G;LIBBS;;ST;30049091;26,33;04;04;201;0;10;0;29,2;29,2000007629395;27,2999992370605;20,2900009155273;34,5490291041271;0;0;0
7897947603820;39222;(SUSPENSO) REPELENTE XO INSETO LOCAO 200 ML ;CIMED;;18 %;38089199;0;01;01;   ;0;15;0;;17,8999996185303;0;15,8066663742065;13,2433569151535;0;0;0
7897732609334;47791;*SORALYT 450ML LARANJA - REIDRATANTE ORAL;SOBRAL;;ST;21069030;0;49;49;   ;0;0;0;;16;0;4,57000017166138;250,10939603933;0;0;0
7899547531466;48081;+ PRATIPRAZOL 20MG 56 CAPS LR / SIM OMEPRAZOL / ( ;PRATI,DONADUZZI;;ST;30049099;0;04;04;002;0;0;0;49,98;49,9799995422363;0;34,1100006103516;46,5259415066343;0;0;0
7899547538298;48617;+ TADALAFILA 5MG 30 CPS / GEN TADALAFILA / ( ND );PRATI,DONADUZZI;;ST;30049099;0;04;04;002;0;10;2;94,25;94,25;0;4,07000017166138;2215,72471805393;188,5;0;8,14000034332275
0000075076825;48094;- DEO REX MEN CLINIC CLEAN CR 96H 58G   UNIL %DN:0;PERFUMARIA HIGIENE E LIMPEZA;;ST;33072090;0;04;04;002;0;5;0;;19,9899997711182;0;18,1450004577637;10,1680863422909;0;0;0
75076825;48080;- DEO REX MEN CLINIC CLEAN CR 96H 58G   UNIL %DN:0;PERFUMARIA HIGIENE E LIMPEZA;;ST;33072090;0;04;04;002;0;0;0;;22;0;0;0;0;0;0
0000075076870;48095;- DEO REX WOMEN CLINIC EXTRA DRY CR 96H 58G   UNIL;PERFUMARIA HIGIENE E LIMPEZA;;ST;33072090;0;04;04;002;0;5;0;;19,9899997711182;0;17,9400005340576;11,4269742253842;0;0;0
7899547505108;48627;- DESLORATADINA 0,5MG/ML XPE BCO 60ML / GEN DESLOR;PRATI,DONADUZZI;;ST;30049069;0;04;04;002;0;10;0;38,49;38,4900016784668;0;4,57000017166138;742,231952575051;0;0;0
7896677705323;48248;- FORTEVIRON ANTI-AGE 250MG 60CPR   MULT %DF:3.00;HOMEOPATIA WALDEMIR;;ST;30049099;0;04;04;002;0;0;0;;69,9899978637695;0;83,5999984741211;-16,2799053334488;0;0;0
7896058255485;46285;.PANETONE AYMORE GOTAS 400G (18);ALIMENTO;;ST;19052010;0;49;49;   ;0;0;0;;19,7000007629395;0;19,7000007629395;0;0;0;0
7898610373514;47830;1.4_DOSE CONCENTRADA MANDIOCA 40GR;PERFUMARIA HIGIENE E LIMPEZA;;ST;33059000;0;04;04;002;0;0;0;;13,9899997711182;0;0;0;0;0;0
7891317129941;42466;20 BI CX C/10 CAPS;MOMENTA FARMACEUTICA LTDA;;18 %;21069090;0;49;49;   ;0;0;0;;70,9000015258789;0;54,2999992370605;30,5709070387769;0;0;0
7891317158705;42710;20 BI CX C/5 CAPS;MOMENTA FARMACEUTICA LTDA;;18 %;21069090;0;49;49;   ;0;10;0;;57,560001373291;48,5;41,1199989318848;17,9474738808729;0;0;0
7898949060017;38472;365 TODO DIA FR 30 CPR;NORTIS FARMACEUTICA LTDA;;18 %;21069030;0;01;01;   ;0;10;0;;22,8999996185303;10,6000003814697;10,5900001525879;0,0944308662676585;0;0;0
7898949060024;38128;365 TODO DIA FR 60 CPR;NORTIS FARMACEUTICA LTDA;;18 %;21069030;0;01;01;   ;0;10;0;;33,9000015258789;33,9000015258789;17,0599994659424;98,7104489279437;0;0;0
7898225524271;25971;4WHEY TECH ATHETICA 907G;POPULAR;;ST;18069000;32,09;01;01;   ;0;0;0;;105;0;70,0999984741211;49,7860232318878;0;0;0
7898225524288;25972;4WHEY TECH ATHETICA 907G;POPULAR;;18 %;21061000;32,09;01;01;   ;0;0;0;;105;0;70,0999984741211;49,7860232318878;0;0;0
