COD_BARRAS,PRODUTO_ID,NOMEORDER,FORNECEDOR,LOCALIZACAO,TRIBUTACAO,NCM,ALIQUOTA_NCM,CST_PIS,CST_COFINS,NATUREZA_RECEITA_PIS_COFINS,PADRAO_COMISSAO,DESCONTO_MAXIMO,QUANTIDADEORDER,TABELA,VENDA,PROMOCAO,VALOR_ULT_COMPRA,MARGEM,TOTAL_PRVENDA,TOTAL_PRPROMOCAO,TOTAL_PRCOMPRA,VALOR
"7,89866E+12",45901,AMP. TRATAMENTO CAPILAR SKAFE OLEO DE ARGAN,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,2,0,5,0,,"2,5",0,"1,460000038","71,23287224",0,0,0,
75076825,48094,- DEO REX MEN CLINIC CLEAN CR 96H 58G   UNIL %DN:0,PERFUMARIA HIGIENE E LIMPEZA,,ST,33072090,0,4,4,2,0,5,0,,"19,98999977",0,"18,14500046","10,16808634",0,0,0,
75076870,48095,- DEO REX WOMEN CLINIC EXTRA DRY CR 96H 58G   UNIL,PERFUMARIA HIGIENE E LIMPEZA,,ST,33072090,0,4,4,2,0,5,0,,"19,98999977",0,"17,94000053","11,42697423",0,0,0,
,2078,A A S ADULTO C/4,SANOFI-AVENTIS  FARMACEUTICA LTDA,,ST,30049024,0,4,4,201,0,10,0,,"1,799999952",0,"1,25","43,99999619",0,0,0,
"4,7501E+13",19206,ABS. ALWAYS ACTIVE NOTURNO C/ABAS 8 UNID.,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,"32,09",49,49,,0,5,0,,"7,5","7,5","4,359166622","72,05123479",0,0,0,
"2,759E+13",37050,ABS. ALWAYS ACTIVE ULTRAFINA NOTURNO C/ABAS 8 UNID,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,0,49,49,,0,5,0,,"6,199999809","6,199999809","4,126666546","50,24232611",0,0,0,
"1,75062E+13",36766,ABS. ALWAYS BASICO C/ABAS SECO LV. 8 PG 7 8 UNID,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,"32,09",49,49,,0,5,0,,"4,300000191","4,300000191","2,670277834","61,03193968",0,0,0,
"8,10508E+11",16336,ABS. CAREFREE PROT. DIARIO,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,0,49,49,,0,5,0,,"3,390000105",0,"2,119999886","59,90567396",0,0,0,
20800600347,19973,ABS. TAMPAX C/10,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,0,49,49,,0,5,0,,"6,5",0,"5,039999962","28,96825494",0,0,0,
20800600330,19974,ABS. TAMPAX C/10,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,0,49,49,,0,5,0,,"6,5",0,"5,039999962","28,96825494",0,0,0,
20800600323,19975,ABS. TAMPAX C/10,PERFUMARIA HIGIENE E LIMPEZA,,ST,96190000,0,49,49,,0,5,0,,"6,5",0,"5,039999962","28,96825494",0,0,0,
"9,31896E+12",19072,ACCU CHEK ADVANTAGE KIT,ROCHE,,18%,38229000,0,49,49,,0,10,0,,180,0,"120,1100006","49,86262516",0,0,0,
"6,02884E+11",48580,ACIDO MANDELICO,PERFUMARIA HIGIENE E LIMPEZA,,ST,33049990,0,4,4,2,0,0,0,,63,0,0,0,0,0,0,
"3,28277E+12",15066,ACTINE CONTROL SABONETE 70 G,PERFUMARIA HIGIENE E LIMPEZA,,18%,34011110,"34,28",49,49,,0,0,0,,"33,90000153",0,"20,45999908","65,68916443",0,0,0,
78900769,12577,ADOCANTE DOCE MENOR,POPULAR,,18%,21069090,"32,09",49,49,,0,0,0,,"1,75999999",0,"1,24000001","41,93548201",0,0,0,
78913783,12304,ADOCANTE FINN,POPULAR,,18%,21069090,"32,09",49,49,,0,0,0,,"10,43000031",0,"7,349999905","41,9047679",0,0,0,
"5,70219E+12",44144,ADVANTAN 1 MG/G CREM DERM 15 G,LEOFARMA,,ST,30043999,0,4,4,2,0,0,0,"87,52","87,51999664",0,"56,36000061","55,28743026",0,0,0,
78909427,39935,"AGULHA DESCARTAVEL (BD) 0,25 X 30 MM",PERFUMARIA HIGIENE E LIMPEZA,,ST,90183219,0,49,49,,0,5,0,,"0,5","0,5","0,186100006","168,6727478",0,0,0,
78909823,40195,"AGULHA DESCARTAVEL (BD) 0,45 X 13 MM",PERFUMARIA HIGIENE E LIMPEZA,,ST,90183219,0,49,49,,0,5,0,,"0,5","0,5","0,167799994","197,9737883",0,0,0,
78909830,21011,"AGULHA DESCARTAVEL (BD) 0,70 X 30 MM",PERFUMARIA HIGIENE E LIMPEZA,,ST,90183219,"29,84",49,49,,0,5,0,,"0,5","0,5","0,129999995","284,6153987",0,0,0,
78909793,27885,AGULHA DESCARTAVEL 25 X 08,POPULAR,,ST,90183219,"29,84",49,49,,0,0,0,,"0,200000003",0,"14,03999996","-98,57549855",0,0,0,
40232710698,37417,ALCOOL 70 % (PROLINK) 1 L,PERFUMARIA HIGIENE E LIMPEZA,,18%,22072019,0,4,4,1,0,5,0,,"9,899999619","9,899999619","5,900000095","67,79660099",0,0,0,
71603113893,36428,ALICATE DE UNHA TRIM CABO EMBORRACHO,PERFUMARIA HIGIENE E LIMPEZA,,ST,82142000,0,49,49,,0,0,0,,"6,5",0,"2,589999914","150,9652593",0,0,0,
39442030115,28064,ANIMAL PAK C/44 SACHES,SOARES E TECLES,,18%,21069030,0,49,49,,0,0,0,,232,0,145,60,0,0,0,
39442030887,28296,ANIMAL PAK UNIDADE,SOARES E TECLES,,18%,21069030,0,49,49,,0,0,0,,"4,5",0,240,"-98,125",0,0,0,
70330734395,39485,AP. DE BARBEAR BIC COMFORT 3 PELE NORMAL 4 UNID.,PERFUMARIA HIGIENE E LIMPEZA,,ST,82121020,0,49,49,,0,5,0,,"22,98999977",0,"10,6583004","115,7004298",0,0,0,
70330734401,39486,AP. DE BARBEAR BIC COMFORT 3 PELE SENS. 4 UNID.,PERFUMARIA HIGIENE E LIMPEZA,,ST,82121020,0,49,49,,0,5,0,,"17,70000076",0,"10,6583004","66,06776033",0,0,0,
70330734425,43768,AP. DE BARBEAR BIC SOLEIL L4 PG3 FEMININO,PERFUMARIA HIGIENE E LIMPEZA,,ST,82121020,0,49,49,,0,0,0,,"17,89999962",0,"12,34500027","44,99796866",0,0,0,
